id,text,author
id21308,"I had not seen him for ten days, and was appalled by the fearful alteration which the brief interval had wrought in him.",EAP
id09581,"For they deny that I sold the last of my statuary, and point with ecstasy at the thing which the shining shaft of light left cold, petrified, and unvocal.",HPL
id20086,"I had told no one of my visits to the tomb, having guarded my secret purpose with religious zeal since childhood; but now I was forced to exercise care in threading the mazes of the wooded hollow, that I might throw off a possible pursuer.",HPL
id03762,"Moreover, so far as aesthetic theory was involved, if the psychic emanations of human creatures be grotesque distortions, what coherent representation could express or portray so gibbous and infamous a nebulosity as the spectre of a malign, chaotic perversion, itself a morbid blasphemy against Nature?",HPL
id10789,It was in vain they endeavored to reassure me by the most solemn promises.,EAP
id18058,We need not there fear cold and hunger.,MWS
id01701,"Of my surprise I said nothing, and yet was I most unfeignedly surprised; for a certain feebleness, or rather a certain tremulous indecision of voice in ordinary conversation, had prepared me to anticipate that, in singing, she would not acquit herself with any remarkable ability.",EAP
id17232,When I attained the conning tower I found the sea in general far less luminous than I had expected.,HPL
id23541,"One of the fellows, enraged at my interference, struck me with his bayonet in the side, and I fell senseless.",MWS
id06657,"It was beginning life again; it was leaving barren sands for an abode of fertile beauty; it was a harbour after a tempest, an opiate after sleepless nights, a happy waking from a terrible dream.",MWS
id18344,It seemed that I had newly awakened from a confused and exciting dream.,EAP
id09363,"No man had ever excited so strong an interest in the public mind; this was apparent even among the phlegmatic English, from whom he had long been absent.",MWS
id12470,"The Horror in the Eyes There can be nothing normal in the mind of one who, knowing what I knew of the horrors of Tempest Mountain, would seek alone for the fear that lurked there.",HPL
id13430,"In a few minutes the blaze broke forth with violence, and in an incredibly brief period the entire building was wrapped in flames.",EAP
id13549,"A hope that the visitation of the present year would prove the last, kept up the spirits of the merchants connected with these countries; but the inhabitants were driven to despair, or to a resignation which, arising from fanaticism, assumed the same dark hue.",MWS
id24423,"Legrand led the way with decision; pausing only for an instant, here and there, to consult what appeared to be certain landmarks of his own contrivance upon a former occasion.",EAP
id08796,"The house was in utter turmoil, and above the chatter of awed voices I heard a man praying in a deep basso.",HPL
id08989,"The spirits that guarded me had provided these moments, or rather hours, of happiness that I might retain strength to fulfil my pilgrimage.",MWS
id24462,It must have closed the window as it passed through it.,EAP
id05147,"I had scarcely recovered, and with feigned hilarity had brought back smiles into my little circle, when we saw Ryland approach.",MWS
id26389,But the idea of entering the tomb never left my thoughts; being indeed stimulated by the unexpected genealogical discovery that my own maternal ancestry possessed at least a slight link with the supposedly extinct family of the Hydes.,HPL
id12300,Is not this a fearful curse that I labour under?,MWS
id06273,"The habits of the minister gave me, too, a great advantage.",EAP
id22593,"Why shall I pause to relate how, time after time, until near the period of the gray dawn, this hideous drama of revivification was repeated; how each terrific relapse was only into a sterner and apparently more irredeemable death; how each agony wore the aspect of a struggle with some invisible foe; and how each struggle was succeeded by I know not what of wild change in the personal appearance of the corpse?",EAP
id07089,"Upon its conclusion, Madame Lalande again turned toward the stage, and, for a few minutes, seemed absorbed in the performance.",EAP
id22379,"The stench waxed overpowering, and the noises swelled to a bestial babel of croaking, baying, and barking without the least suggestion of human speech.",HPL
id25552,"My active mind, when once it seized upon this new idea, fastened on it with extreme avidity.",MWS
id21244,"His uneasiness, in the first instance, had been, evidently, but the result of playfulness or caprice, but he now assumed a bitter and serious tone.",EAP
id21434,"A few more years dwell in thy native garden, sweet flower, till I by toil and time acquire a right to gather thee.",MWS
id22924,"This is unquestionably the most stupendous, the most interesting, and the most important undertaking, ever accomplished or even attempted by man.",EAP
id04319,"Thus it appeared, I say, but was not.",EAP
id03485,"At sight of the device the witch seemed struck with panic, and her grip relaxed long enough to give Gilman a chance to break it entirely.",HPL
id12138,"In the first place, go to bed.",EAP
id07822,"Inflamed by pain, I vowed eternal hatred and vengeance to all mankind.",MWS
id21775,"My trusty dog watched the sheep as I slipped away to the rendezvous of my comrades, and thence to the accomplishment of our schemes.",MWS
id17641,"And then I thought I heard a shriller, steadier note that was not from the viol; a calm, deliberate, purposeful, mocking note from far away in the west.",HPL
id09125,One day a caravan of strange wanderers from the South entered the narrow cobbled streets of Ulthar.,HPL
id18512,"Does not understand the English language, but judges by the intonation.",EAP
id01639,Whole villages were carried away.,MWS
id06860,I will melt the stony hearts of your enemies by my tears and prayers.,MWS
id25534,"Between ingenuity and the analytic ability there exists a difference far greater, indeed, than that between the fancy and the imagination, but of a character very strictly analogous.",EAP
id10032,"I am more struck, just now, with the supreme silence which reigns in the sea beneath us, notwithstanding its agitation, than with any other phenomenon presenting itself.",EAP
id24992,"Notwithstanding the tenderness and sweetness of my mother, her husband still deplored his degraded state.",MWS
id11226,"Nothing, however, happened; and I saw that the power had been cut off.",HPL
id13998,"She replied in a perfectly rational manner to all that I said; and even her original observations were marked with the soundest good sense, but a long acquaintance with the metaphysics of mania, had taught me to put no faith in such evidence of sanity, and I continued to practise, throughout the interview, the caution with which I commenced it.",EAP
id00737,"""And mine eyes fell upon the countenance of the man, and his countenance was wan with terror.",EAP
id06266,"She entered silently, sat on a sofa opposite to him, and gazed on him with a look of such despair, that wildest shrieks and dire moans would have been tame exhibitions of misery, compared to the living incarnation of the thing itself exhibited by her.",MWS
id15894,Time and the Congo climate are not kind to mummies; especially when their preparation is as amateurish as seemed to be the case here.,HPL
id15866,"The very writing used to exhaust him; and he would weep over them, merely from the excess of emotion they awakened in his heart.",MWS
id25763,In Britain only could he further the execution of his plan.,MWS
id01091,"There were creakings, scurryings, and hoarse doubtful noises; and I thought uncomfortably about the hidden tunnels suggested by the grocery boy.",HPL
id19671,Sometimes I tried to imitate the pleasant songs of the birds but was unable.,MWS
id18007,"Observe how fast we move along and how the clouds, which sometimes obscure and sometimes rise above the dome of Mont Blanc, render this scene of beauty still more interesting.",MWS
id01473,The most learned philosopher knew little more.,MWS
id07169,"Beyond Cologne we descended to the plains of Holland; and we resolved to post the remainder of our way, for the wind was contrary and the stream of the river was too gentle to aid us.",MWS
id05484,"The more I saw of them, the greater became my desire to claim their protection and kindness; my heart yearned to be known and loved by these amiable creatures; to see their sweet looks directed towards me with affection was the utmost limit of my ambition.",MWS
id11050,"An appeal to one's own heart is, after all, the best reply to the sophistry just noticed.",EAP
id27188,"It resisted all my efforts, as I had anticipated.",EAP
id03644,"As the men grew more frightened at this undersea imprisonment, some of them began to mutter again about Lieut.",HPL
id00579,"I remembered where was deposited a decanter of light wine which had been ordered by her physicians, and hastened across the chamber to procure it.",EAP
id04157,"This tuft of tawny hair, too, is identical in character with that of the beast of Cuvier.",EAP
id24711,I encouraged them with such thoughts of cheer as presented themselves.,MWS
id05534,"Pride and tenderness now struggled, and at length made a compromise together.",MWS
id21712,"As the figures spread throughout the courtyard, I felt my fears increase.",HPL
id03280,"At length we entered a wider space, and the low roof heightened; but, as we congratulated ourselves on this change, our torch was extinguished by a current of air, and we were left in utter darkness.",MWS
id14997,"Justine, thus received in our family, learned the duties of a servant, a condition which, in our fortunate country, does not include the idea of ignorance and a sacrifice of the dignity of a human being.",MWS
id08635,"Our air pressure and electricity were diminishing, and we wished to avoid all unnecessary use of our slender mechanical resources; but in this case there was no choice.",HPL
id16390,In these black and bodiless flights we were sometimes alone and sometimes together.,HPL
id16486,Could not speak in regard to their mode or means of living.,EAP
id14106,"I had asked him, it will be remembered, if he still slept.",EAP
id09668,"It remained in all respects as I have last described it, with the exception that the mirror no longer afforded evidence of respiration.",EAP
id26648,"It's getting late, and, besides, you remember your promise.""",EAP
id04581,"The colleges are ancient and picturesque; the streets are almost magnificent; and the lovely Isis, which flows beside it through meadows of exquisite verdure, is spread forth into a placid expanse of waters, which reflects its majestic assemblage of towers, and spires, and domes, embosomed among aged trees.",MWS
id06405,"He made the first public experiment at Willis's Rooms, but afterward removed his model to the Adelaide Gallery.",EAP
id17908,But in Perdita he possessed all that his heart could desire.,MWS
id07217,He pines for want of some interest in life.,MWS
id17285,"At length my friend, who had taken up some of the leaves strewed about, exclaimed, ""This is the Sibyl's cave; these are Sibylline leaves.""",MWS
id22845,My protectors had departed and had broken the only link that held me to the world.,MWS
id24679,"Where there are no interspaces, there can be no yielding.",EAP
id15932,The circle round him fell back.,MWS
id23487,"A striking similitude between the brother and sister now first arrested my attention; and Usher, divining, perhaps, my thoughts, murmured out some few words from which I learned that the deceased and himself had been twins, and that sympathies of a scarcely intelligible nature had always existed between them.",EAP
id16099,"There was a bluish haze and a frenzied sputtering, and the yellowish phosphorescence grew dimmer to my eyes.",HPL
id25225,"I dreaded that, in some trance of more than customary duration, they might be prevailed upon to regard me as irrecoverable.",EAP
id18173,"Of the progress of time we kept no record, for time had become to us the merest illusion.",HPL
id07922,"The poor mother who had brooded long over, and suppressed the expression of her anguish, now burst into tears, and folding her babe in her arms, hurried from the hall.",MWS
id20870,"""Never shall I forget the sensations of awe, horror, and admiration with which I gazed about me.",EAP
id21780,"Were these warning voices, whose inarticulate and oracular sense forced belief upon me?",MWS
id21309,My course at once became clear.,HPL
id16246,"I saw, with surprise and grief, the leaves decay and fall, and nature again assume the barren and bleak appearance it had worn when I first beheld the woods and the lovely moon.",MWS
id25081,"Some of the windows on the Gilman House side were faintly glowing, and I thought I heard confused sounds within.",HPL
id06468,"It must have been drugged; for scarcely had I drunk, before I became irresistibly drowsy.",EAP
id13842,"Of sauces there were an untold number, prepared by the subtlest cooks in all Mnar, and suited to the palate of every feaster.",HPL
id23976,He came to Windsor to consult with us.,MWS
id09343,Uncontrollable indignation flashed from the eyes of Raymond.,MWS
id03120,"And life arose in our paths; for the tall flamingo, hitherto unseen, with all gay glowing birds, flaunted his scarlet plumage before us.",EAP
id16638,"It gives me, perhaps, as much of pleasure as I can now in any manner experience, to dwell upon minute recollections of the school and its concerns.",EAP
id17137,"A change came over the yellow, goatish face of the prostrate thing, and the great black eyes fell in appallingly.",HPL
id14684,"In the midst of saddest grief I seemed to tread air, while the spirit of good shed round me an ambrosial atmosphere, which blunted the sting of sympathy, and purified the air of sighs.",MWS
id27271,I thought of the occurrences of the day.,MWS
id20777,"Deep in midnight, she was awaked by a rustling near her; she would have started up, but her stiff joints refused to obey her will.",MWS
id23135,"But her temper was fluctuating; joy for a few instants shone in her eyes, but it continually gave place to distraction and reverie.",MWS
id07669,"The rain had ceased for a moment, and I saw the fish play in the waters as they had done a few hours before; they had then been observed by Elizabeth.",MWS
id08890,Unhappy is he to whom the memories of childhood bring only fear and sadness.,HPL
id17370,"Now, however, he seemed to hesitate.",EAP
id10132,"Those who possessed a power of living out of London, he advised immediately to quit it, affording them the means of so doing.",MWS
id22520,"The gates of their abode were besieged, audible prayers were breathed for his restoration; all these circumstances added to the dismay and fears of Perdita.",MWS
id03293,"As Evadne regained her composure, his manner became even gay; he sported with the idea of her poverty.",MWS
id22346,We give below all the material testimony elicited.,EAP
id04004,I breathed more freely.,EAP
id03403,"Solitude also lost to me some of its charms: I began again to wish for sympathy; not that I was ever tempted to seek the crowd, but I wished for one friend to love me.",MWS
id11119,"The next day I was increasingly apprehensive about the police, for a patient brought rumours of a suspected fight and death.",HPL
id25556,"On this occasion I went, dreading the worst, to his dwelling, to see if I could be of any service to those of his family who might have survived.",MWS
id14916,"The stars shone at intervals as the clouds passed from over them; the dark pines rose before me, and every here and there a broken tree lay on the ground; it was a scene of wonderful solemnity and stirred strange thoughts within me.",MWS
id00343,"They searched, but found nothing.",HPL
id05627,"Yet, and for ever, would I contribute all I possess to your welfare.",MWS
id25704,"The experiment would be a landmark in our studies, and he had saved the new body for my return, so that both might share the spectacle in accustomed fashion.",HPL
id09903,"His eyes were bright, his countenance composed, an air of concentrated energy was diffused over his whole person, much unlike its former languor.",MWS
id06647,"If I trembled at the blast which has hitherto attended us, shall I not stand aghast at a warring of wind and ocean, to convey any idea of which the words tornado and simoom are trivial and ineffective?",EAP
id16700,"Choosing the direction toward the house, I scrambled recklessly into the narrow burrow; squirming ahead blindly and rapidly, and flashing but seldom the lamp I kept before me.",HPL
id03705,"Stranger still, when the troops advanced near the city, the walls were vacant, and no cannon was pointed against the intruders.",MWS
id12629,"This was the forest near Ingolstadt; and here I lay by the side of a brook resting from my fatigue, until I felt tormented by hunger and thirst.",MWS
id15211,"The grey old scholar, as vivid as in life, spoke long and earnestly of their ancient line, and of the strange visions of the delicate and sensitive men who composed it.",HPL
id13170,"If you are unconvinced, I can add nothing further by way of argument, and I can only declare my fixed resolve.",MWS
id14801,"We see things only as we are constructed to see them, and can gain no idea of their absolute nature.",HPL
id18525,"In a few minutes more, there came over the scene another radical alteration.",EAP
id23746,But he was awake now; all this should be remedied; and future devotion erase the memory of this only blot on the serenity of their life.,MWS
id18216,"As I turned from the door, I saw Merrival, or rather the shadow of Merrival, attenuated and wild, pass me, and sit on the steps of his home.",MWS
id16493,"These thoughts supported my spirits, while I pursued my undertaking with unremitting ardour.",MWS
id12987,"Certainly, the madness began with Sir Wade, whose wild stories of Africa were at once the delight and terror of his few friends.",HPL
id04814,Then a pause in which all is blank.,EAP
id18602,"My breast heaved, my knees tottered, my whole spirit became possessed with an objectless yet intolerable horror.",EAP
id21165,"Can the madman, as he clanks his chains, hope?",MWS
id22608,"We are no longer lovers; nor can I call myself a friend to any; since, lost as I am, I have no thought to spare from my own wretched, engrossing self.",MWS
id21139,"It remained to be seen, first, whether, in such condition, there existed in the patient any susceptibility to the magnetic influence; secondly, whether, if any existed, it was impaired or increased by the condition; thirdly, to what extent, or for how long a period, the encroachments of Death might be arrested by the process.",EAP
id21853,"The electricity seemed to be turned off, and when I asked my guide he said it was for a definite reason.",HPL
id24108,"The past was vivid there, for not an attribute was missing.",HPL
id19871,At two in the morning a lone coyote on the mountain began to howl dismally.,HPL
id22361,"It seemed as if, far from any dread of defeat even if Mr. Ryland had not resigned, every voice would have been united in favour of our candidate.",MWS
id21065,"Such failures are not uncommon, and we were more pleased than disappointed; since our return to Wilhelmshaven was now in order.",HPL
id10398,"He was a schoolfellow and friend of her brother's, and usually spent a part of the holidays at the mansion of the duke her father.",MWS
id03578,Soon after this incident we parted.,MWS
id25932,"He made, at that moment, a solemn vow to deliver him and then looked around for the means.",MWS
id11133,Yet I did not heed the bleakness of the weather; I was better fitted by my conformation for the endurance of cold than heat.,MWS
id24479,"It was in this apartment, also, that there stood against the western wall, a gigantic clock of ebony.",EAP
id09563,"He had, indeed, made that coffin for Matthew Fenner; but had cast it aside at last as too awkward and flimsy, in a fit of curious sentimentality aroused by recalling how kindly and generous the little old man had been to him during his bankruptcy five years before.",HPL
id20529,"We heard no more of them; for, as he had said, the siege, now drawing to a conclusion, became paramount in interest, engaging all his time and attention.",MWS
id11761,"This sum was paid in gold, and a clerk went home with the money.",EAP
id02337,"Wilcox was a precocious youth of known genius but great eccentricity, and had from childhood excited attention through the strange stories and odd dreams he was in the habit of relating.",HPL
id04890,"We were affectionate playfellows during childhood, and, I believe, dear and valued friends to one another as we grew older.",MWS
id17714,The effects of purifying cold were immediately felt; and the lists of mortality abroad were curtailed each week.,MWS
id02508,"They hopped irregularly, sometimes on two legs and sometimes on four.",HPL
id24096,"Then there was the crumbling farmhouse of old Goody Fowler the witch, with its little evil windows and great roof sloping nearly to the ground on the north side.",HPL
id25565,"I must expiate these crimes, and must endeavour in some degree to proportionate my punishment to my guilt.",MWS
id26085,He took a pipe and a chair and entered into some ordinary conversation.,EAP
id02468,"During the morning I attended the motions of the cottagers, and when they were dispersed in various occupations, I slept; the remainder of the day was spent in observing my friends.",MWS
id07394,"Could not distinguish the words, but was convinced by the intonation that the speaker was an Italian.",EAP
id18917,"His blue eyes, though a trifle bloodshot, seemed inexplicably keen and burning.",HPL
id22675,"Should we, any of us, survive the coming summer?",MWS
id27343,"I was a solitary being, and from my infant years, ever since my dear nurse left me, I had been a dreamer.",MWS
id23206,"He acknowledged that he was not an architect; but the idea of the building had struck him, though he had sent it without the smallest hope of its being accepted.",MWS
id11105,"Some of them had even told the police and advised them to look there for the missing Wolejko child, but they did not believe anything would be done.",HPL
id21017,"I went but to obtain the consent of Idris, and then to return and take my station beside my unequalled friend; to share his labours, and save him, if so it must be, at the expence of my life.",MWS
id13716,Never before had the presence of evil so poignantly oppressed me.,HPL
id00352,"At first curious, I was now frantic; and when in the thickening twilight I returned to my home, I had sworn to the hundred gods of the grove that at any cost I would some day force an entrance to the black, chilly depths that seemed calling out to me.",HPL
id23347,"He had extorted from her a vow of secrecy; and her part of the drama, since it was to be performed alone, was the most agonizing that could be devised.",MWS
id23939,"He must have been a noble creature in his better days, being even now in wreck so attractive and amiable.",MWS
id21316,"What does it matter, whether the fire be struck from flint and steel, nourished with care into a flame, slowly communicated to the dark wick, or whether swiftly the radiant power of light and warmth passes from a kindred power, and shines at once the beacon and the hope.",MWS
id16457,"My love for you is inviolate.""",MWS
id16819,I have said that my aunt was very unlike my father.,MWS
id00773,"It was here, I recalled, that the Rowley road drew so close to the old railway before crossing westward and diverging.",HPL
id24585,"Alternate frosts and thaws succeeding to floods, rendered the country impassable.",MWS
id01362,The memory of sorrow has brought tears; the memory of happiness a warm glow the lively shadow of that joy.,MWS
id02566,"In a dream it was also that he came by his name of Kuranes, for when awake he was called by another name.",HPL
id26973,Perhaps no country is naturally so well protected against our invader; nor has nature anywhere been so well assisted by the hand of man.,MWS
id09333,"A night or two ago Lord Raymond, with a brow of care, and a heart oppressed with thought, bent all his energies to silence or persuade the legislators of England that a sceptre was not too weighty for his hand, while visions of dominion, war, and triumph floated before him; now, frolicsome as a lively boy sporting under his mother's approving eye, the hopes of his ambition were complete, when he pressed the small fair hand of Perdita to his lips; while she, radiant with delight, looked on the still pool, not truly admiring herself, but drinking in with rapture the reflection there made of the form of herself and her lover, shewn for the first time in dear conjunction.",MWS
id21745,"Almost from infancy I was deprived of all the testimonies of affection which children generally receive; I was thrown entirely upon my own resources, and I enjoyed what I may almost call unnatural pleasures, for they were dreams and not realities.",MWS
id27167,"The collection was a notable one indeed, but in my present mood I had eyes for nothing but the bizarre object which glistened in a corner cupboard under the electric lights.",HPL
id08481,"Cthulhu still lives, too, I suppose, again in that chasm of stone which has shielded him since the sun was young.",HPL
id15069,"I threw the letter on the table, and covered my face with my hands.",MWS
id14450,I dared not speak to him; and when sometimes I had worked up courage to meet him and to ask an explanation one glance at his face where a chaos of mighty passion seemed for ever struggling made me tremble and shrink to silence.,MWS
id04149,"Fainting and gasping, I looked at that unhallowed Erebus of titan toadstools, leprous fire, and slimy water, and saw the cloaked throngs forming a semicircle around the blazing pillar.",HPL
id05547,"Then the other shapes began to appear, filling me with nameless horror the moment I awoke.",HPL
id17670,"The squatters might have understood, but I dared not frighten them more.",HPL
id24842,"Think not, Walton, that in the last moments of my existence I feel that burning hatred and ardent desire of revenge I once expressed; but I feel myself justified in desiring the death of my adversary.",MWS
id26895,"I often referred the several situations, as their similarity struck me, to my own.",MWS
id20895,"There had been five of them in a car, but now the car stood empty near the ruins in the Frye yard.",HPL
id11532,"In the feeling communicated to me by the sight of one struck by the plague, I forgot the events that had excited me so strongly in London; new and more painful prospects, by degrees were cleared of the mist which had hitherto veiled them.",MWS
id16516,"The poor girl returned to the assembly, where her presence had not been missed.",MWS
id08337,During these last days I have been occupied in examining my past conduct; nor do I find it blamable.,MWS
id19549,"At length you have broken the spell; tell me what you know of her.""",MWS
id26771,"But, though others might rank higher in title and ceremony, Lord Raymond held a station above and beyond all this.",MWS
id22140,I read it with profound attention.,EAP
id19920,The luxury of command and the attentions of servitude were lost.,MWS
id27426,"In the inmost recesses of this coppice, not far from the eastern or more remote end of the island, Legrand had built himself a small hut, which he occupied when I first, by mere accident, made his acquaintance.",EAP
id10604,"If there be no friendly arm to check us, or if we fail in a sudden effort to prostrate ourselves backward from the abyss, we plunge, and are destroyed.",EAP
id11017,"It glowed and blushed beneath the eyes of the slant sunlight, and fairly laughed with flowers.",EAP
id14335,"In wild delirium she called upon the name of Raymond; she exclaimed that I was keeping him from her, while the Turks with fearful instruments of torture were about to take his life.",MWS
id20593,"I knew that I could not remove it from the house, either by day or by night, without the risk of being observed by the neighbors.",EAP
id07428,They did not stop to view the matter closely and reasoningly.,HPL
id11527,"We will go back; you will be ill, and I cannot be responsible.",EAP
id19733,"These fellows annoyed me very much, at intervals, during the repast, by an infinite variety of noises, which were intended for music, and which appeared to afford much entertainment to all present, with the exception of myself.",EAP
id24677,"They, like the whole balustrade, seemed to be made of some sort of shining metal whose colour could not be guessed in this chaos of mixed effulgences; and their nature utterly defied conjecture.",HPL
id26656,I love Elizabeth and look forward to our union with delight.,MWS
id24905,"The men who shook me were the crew of the sloop, and some laborers engaged to unload it.",EAP
id07780,In Germany and Russia the injury was still more momentous.,MWS
id01689,"Adrian and his division, consisting in all of five hundred persons, were to take the direction of Dover and Calais.",MWS
id17498,"It was the admirers, friends, fellow soldiers of Raymond, families that had welcomed Perdita to Greece, and lamented with her the loss of her lord, that were swept away, and went to dwell with them in the undistinguishing tomb.",MWS
id19964,The curiosity of both the physicians was greatly excited.,EAP
id14525,"Justine died, she rested, and I was alive.",MWS
id07108,"His daughter attended him with the greatest tenderness, but she saw with despair that their little fund was rapidly decreasing and that there was no other prospect of support.",MWS
id11692,"His will was at no period positively, or thoroughly, under my control, and in regard to clairvoyance, I could accomplish with him nothing to be relied upon.",EAP
id10891,"While he was with me, the wonder and diabolism of his experiments fascinated me utterly, and I was his closest companion.",HPL
id00347,"Constantinople was invested, trenches dug, and advances made.",MWS
id06284,"And, while I felt Idris to be near, and heard the regular breathing of my children, I could not be unhappy.",MWS
id10702,"My mind turned to that odd question which had kept recurring ever since the nightmare thing had happened; and again I wondered why the daemon, approaching the three watchers either from the window or the interior, had begun with the men on each side and left the middle man till the last, when the titan fireball had scared it away.",HPL
id26227,"The task of his destruction was mine, but I have failed.",MWS
id09568,"I will not task myself beyond my powers, nor will I needlessly seek danger.",MWS
id04660,"In the pure arrogance of the reason, we have all overlooked it.",EAP
id04744,"As is usually the case in the prosecution of such enterprizes, the difficulties decreased on examination.",MWS
id07251,"But despite all I have done it remains an humiliating fact that I cannot find the house, the street, or even the locality, where, during the last months of my impoverished life as a student of metaphysics at the university, I heard the music of Erich Zann.",HPL
id25977,"Johansen and his men were awed by the cosmic majesty of this dripping Babylon of elder daemons, and must have guessed without guidance that it was nothing of this or of any sane planet.",HPL
id06244,I was formed for peaceful happiness.,MWS
id24560,"And worst of all, I perceived that one figure was strangely robed, and unmistakably surmounted by a tall tiara of a design altogether too familiar.",HPL
id05091,"Early in the day, I heard of the arrival of the aged grandmother of one of our servants at the Castle.",MWS
id12528,Those studies and pursuits which partake of the dark and occult in Nature most strongly claimed my attention.,HPL
id14485,But he was only ten years old; and the hilarity of youth soon chased unreasonable care from his brow.,MWS
id27475,It was not until February that the desired signs of winter appeared.,MWS
id02280,"Long did I gaze on the city, but the day came not.",HPL
id24083,"It must have, I concluded, since I now began to hear shocking guttural murmurs from that hitherto silent direction.",HPL
id02321,"But drag me from this country; and my power of self control vanishes, nor can I answer for the violence my agony of grief may lead me to commit.""",MWS
id10299,"Sometimes she hung over her child, tracing her resemblance to the father, and fearful lest in after life she should display the same passions and uncontrollable impulses, that rendered him unhappy.",MWS
id17607,"The banks of the Thames presented a new scene; they were flat but fertile, and almost every town was marked by the remembrance of some story.",MWS
id16484,Was it a playful charge on the part of my Ligeia?,EAP
id15302,"It was not until I arrived at Brentford, that I perceived much change in the face of the country.",MWS
id21138,The thing is so plain.,EAP
id02525,"Yet I would not call them Voices of warning, that announce to us Only the inevitable.",MWS
id12608,He seemed calm even when he thought of that clawed grave and looked over his shoulder; even when he thought of the carnivorous thing that gnawed and pawed at Sefton bars.,HPL
id23863,Never mention to her the fatal name of Evadne.,MWS
id08445,"Whether this story were true or not, the effects were certain.",MWS
id18146,"You never regarded me as one of this world, but rather as a being, who for some penance was sent from the Kingdom of Shadows; and she passed a few days weeping on the earth and longing to return to her native soil.",MWS
id22263,Yet I will not attempt to expound them.,EAP
id13537,"I am content to suffer alone while my sufferings shall endure; when I die, I am well satisfied that abhorrence and opprobrium should load my memory.",MWS
id19985,This discovery was sufficient.,EAP
id08053,"This letter in a degree recalled me to life, and I determined to quit my island at the expiration of two days.",MWS
id18959,"The awesome quest had begun when West and I were students at the Miskatonic University Medical School in Arkham, vividly conscious for the first time of the thoroughly mechanical nature of life.",HPL
id06641,"Somehow these people seemed more disquieting than the dismal buildings, for almost every one had certain peculiarities of face and motions which I instinctively disliked without being able to define or comprehend them.",HPL
id16124,"""Can you wonder that we are all aghast and mourn, when this appears changed?",MWS
id18221,"He would be hedged in by servants; nobles, and the sons of nobles, were his companions; all England rang with his name; and his coming, like a thunderstorm, was heard from far: while I, unlettered and unfashioned, should, if I came in contact with him, in the judgment of his courtly followers, bear evidence in my very person to the propriety of that ingratitude which had made me the degraded being I appeared.",MWS
id18472,"But these reflections partook not of the idiosyncrasy of my disease, and were such as would have occurred, under similar circumstances, to the ordinary mass of mankind.",EAP
id22148,We might lose our selfish grief in the sublime aspect of its desolation.,MWS
id05566,"And as I looked, a certain object crossed or seemed to cross that dark rectangle; burning into my brain a momentary conception of nightmare which was all the more maddening because analysis could not shew a single nightmarish quality in it.",HPL
id13235,"It was our idea that our continued nocturnal presence would call forth whatever malign entity lurked there; and that being prepared, we could dispose of the thing with one or the other of our provided means as soon as we had recognised and observed it sufficiently.",HPL
id24524,"Accordingly I sank into the nethermost abysses of despair when, at an inn in Rotterdam, I discovered that thieves had despoiled me of this sole means of salvation.",HPL
id02220,In that moment it seemed as if all the hidden terrors and monstrosities of earth had become articulate in an effort to overwhelm the human race.,HPL
id17163,Its extreme width was eighteen inches.,EAP
id09150,It would have been corroborative of this idea of motive.,EAP
id19562,Was there no injustice in this?,MWS
id02265,"Among other things, I hold painfully in mind a certain singular perversion and amplification of the wild air of the last waltz of Von Weber.",EAP
id11769,"It was the third house from the top of the street, and by far the tallest of them all.",HPL
id19021,It is the nature of thought to be irrevocable.,EAP
id21422,"No creature came near her, as her strength failed.",MWS
id23318,"They are puzzled, too, by the seeming impossibility of reconciling the voices heard in contention, with the facts that no one was discovered up stairs but the assassinated Mademoiselle L'Espanaye, and that there were no means of egress without the notice of the party ascending.",EAP
id14853,Sometimes when I had planned the next morning for my escape a word of more than usual affection from her lips made me postpone my resolution.,MWS
id16946,I was benevolent and good; misery made me a fiend.,MWS
id26804,"His cousin, Ernest B. Aspinwall, Esq., of Chicago, is fully ten years his senior; and distinctly recalls a change in the boy after the autumn of .",HPL
id24061,"The whole village was roused; some fled, some attacked me, until, grievously bruised by stones and many other kinds of missile weapons, I escaped to the open country and fearfully took refuge in a low hovel, quite bare, and making a wretched appearance after the palaces I had beheld in the village.",MWS
id24313,"Finding Perdita immoveable, we consulted as to the best means of furthering her purpose.",MWS
id17785,"Sometimes he went up to London to visit Raymond, and watch the progress of events.",MWS
id19362,"He thinks, that he ought to be satisfied; he imagines, that his present situation precludes the possibility of aggrandisement; he does not therefore, even in his own heart, plan change for himself.",MWS
id27583,"All the world, by the death of his beloved Elinor, was changed to him, and he could no longer remain in any spot where he had seen her or where her image mingled with the most rapturous hopes had brightened all around with a light of joy which would now be transformed to a darkness blacker than midnight since she, the sun of his life, was set for ever.",MWS
id03088,"My opened eyes sought the couch of pain in curious horror, but the blue eyes were still calmly gazing, and the countenance was still intelligently animated.",HPL
id03026,The attachment which Romero manifested toward me was undoubtedly commenced through the quaint and ancient Hindoo ring which I wore when not engaged in active labour.,HPL
id22391,"He pictured to himself a youth, whose eyes sparkled with genius, whose person was attenuated by famine.",MWS
id03291,The republican institutions of our country have produced simpler and happier manners than those which prevail in the great monarchies that surround it.,MWS
id17777,"But the same feelings and opinions which had before restrained her, acted with redoubled force; for she knew that the reflection that he had occasioned her death, would pursue Raymond through life, poisoning every enjoyment, clouding every prospect.",MWS
id02724,"Inspirited by this wind of promise, my daydreams become more fervent and vivid.",MWS
